size,mflop
31,12620.2
32,12130.8
96,12902.9
97,14048.9
127,13618.9
128,12728.4
129,12981.3
191,13627.4
192,13152.4
229,13730.5
255,13903.6
256,13210.8
257,13491.2
319,13453.3
320,13038.8
321,13867.9
417,13728.9
479,13681.1
480,12763.8
511,12834.5
512,12281
639,9406.41
640,9561.77
767,9145.89
768,9390.89
769,9208.32
1023,8910.07
1024,9362.69
1025,9193.36
1525,9165.5
1526,9346.86
1527,9198.28
