size,mflop
31,17761.9
32,18420.3
96,19550.2
97,19323.2
127,20847.1
128,20883.1
129,20340
191,20030.6
192,19869.8
229,19445.3
255,20624.4
256,21521.8
257,20122.1
319,21008.2
320,20991.4
321,20782.3
417,20596.7
479,21409.6
480,21444.8
511,21467.2
512,21744.7
639,21193.7
640,21535.3
767,21527.7
768,21951.4
769,21481.5
1023,21598.2
1024,21389.3
1025,20749.9
1525,21207.6
1526,21760.1
1527,21416.6
