Block Size,Matrix Size,MFLOP
96,321,52698.1
96,417,51786.2
96,479,57420.7
96,480,56766.7
96,511,54563.3
96,512,55360.1
96,639,55631.5
96,640,55206.6
96,767,57157.9
96,768,62605.7
96,769,54429.9
96,1023,58705.3
96,1024,59559.2
96,1025,53229.9
96,1525,56651.0
96,1526,58004.4
96,1527,55163.5
104,31,17087.4
104,32,18979.3
104,96,66016.4
104,97,57711.5
104,127,50649.3
104,128,50310.5
104,129,47601.3
104,191,64652.1
104,192,65947.1
104,229,57914.6
104,255,61612.7
104,256,61008.5
104,257,59809.8
104,319,56842.3
104,320,54800.9
104,321,55876.1
104,417,56066.5
104,479,60720.6
104,480,58432.4
104,511,62329.4
104,512,65228.6
104,639,56049.2
104,640,59584.9
104,767,59799.2
104,768,59154.3
104,769,60146.0
104,1023,59916.9
104,1024,60505.0
104,1025,58498.5
104,1525,57347.9
104,1526,60769.5
104,1527,60689.3
112,31,16348.3
112,32,19607.1
112,96,67284.0
112,97,60204.1
112,127,48237.8
112,128,49761.9
112,129,46100.4
112,191,64872.4
112,192,65167.1
112,229,56500.4
112,255,61010.8
112,256,61844.8
112,257,53220.2
112,319,60746.6
112,320,64838.7
112,321,62795.2
112,417,58879.6
112,479,61807.3
112,480,63107.9
112,511,60267.4
112,512,62375.3
112,639,65658.7
112,640,65155.4
112,767,62809.0
112,768,61908.2
112,769,62522.5
112,1023,60184.5
112,1024,59822.3
112,1025,56502.4
112,1525,58118.5
112,1526,57600.4
112,1527,58438.6
120,31,15116.2
120,32,17166.0
120,96,58282.0
120,97,52492.6
120,127,46342.5
120,128,47310.5
120,129,43207.0
120,191,63655.1
120,192,64688.7
120,229,65572.4
120,255,54490.3
120,256,58643.4
120,257,54549.5
120,319,64624.6
120,320,65696.1
120,321,61544.6
120,417,61593.7
120,479,66731.7
120,480,67207.9
120,511,63943.4
120,512,60697.6
120,639,64716.8
120,640,62272.2
120,767,62323.5
120,768,62640.1
120,769,63487.8
120,1023,65204.8
120,1024,65483.3
120,1025,64400.9
120,1525,63182.2
120,1526,60074.0
120,1527,62176.3
128,31,13615.3
128,32,14950.9
128,96,62133.5
128,97,54999.5
128,127,70963.6
128,128,72615.8
128,129,45684.6
128,191,63520.5
128,192,66306.1
128,229,68855.4
128,255,72012.8
128,256,70387.8
128,257,55652.9
128,319,65312.1
128,320,65431.2
128,321,64362.4
128,417,62656.1
128,479,67135.0
128,480,69375.2
128,511,67183.8
128,512,66714.4
128,639,64808.5
128,640,66283.5
128,767,66836.3
128,768,66221.5
128,769,60863.4
128,1023,65312.4
128,1024,62850.7
128,1025,62387.7
128,1525,65749.5
128,1526,63538.7
128,1527,66608.9
136,31,13481.5
136,32,14897.1
136,96,63838.6
136,97,57912.0
136,127,71624.0
136,128,73897.8
136,129,65285.0
136,191,65226.4
136,192,66000.8
136,229,68530.7
136,255,70975.9
136,256,71715.5
136,257,68422.2
136,319,65248.3
136,320,65061.7
136,321,63940.9
136,417,60387.8
136,479,67229.1
136,480,67155.2
136,511,68226.6
136,512,68595.9
136,639,66752.0
136,640,66398.3
136,767,66482.6
136,768,66462.2
136,769,64425.4
136,1023,65719.8
136,1024,63837.9
136,1025,63630.8
136,1525,61558.3
136,1526,64963.3
136,1527,67588.6
144,31,13065.6
144,32,14165.9
144,96,64451.1
144,97,56292.5
144,127,67093.7
144,128,72980.5
144,129,68356.2
144,191,62831.6
144,192,64495.4
144,229,64316.7
144,255,71102.4
144,256,71723.3
144,257,68203.9
144,319,64558.4
144,320,64704.4
144,321,60499.8
144,417,68542.1
144,479,63965.5
144,480,65688.4
144,511,63872.3
144,512,65855.7
144,639,67236.8
144,640,65676.8
144,767,65965.6
144,768,61825.2
144,769,62067.0
144,1023,58460.3
144,1024,62959.1
144,1025,61451.7
144,1525,66969.5
144,1526,67237.8
144,1527,65558.8
152,31,11322.9
152,32,12277.7
152,96,60675.5
152,97,53849.5
152,127,66858.3
152,128,69738.6
152,129,62784.9
152,191,60417.1
152,192,61789.9
152,229,65829.1
152,255,67727.1
152,256,69178.6
152,257,64695.2
152,319,60758.8
152,320,62184.9
152,321,60486.8
152,417,65936.1
152,479,63793.1
152,480,66183.5
152,511,66528.7
152,512,65063.4
152,639,66451.4
152,640,65171.2
152,767,65281.7
152,768,66953.3
152,769,65671.3
152,1023,66094.0
152,1024,66131.3
152,1025,67233.4
152,1525,64490.2
152,1526,67635.0
152,1527,66566.2
160,31,11165.3
160,32,11013.2
