size,mflop
31,11165.3
32,11013.2
96,62010.3
97,55245.3
127,69568.3
128,72504.8
129,66712.2
191,60411.7
192,62432.1
229,65301.8
255,69085.4
256,68217.3
257,65688.8
319,70674.8
320,70736.7
321,59606.1
417,66448.8
479,70808.4
480,69737.3
511,64131.8
512,64073.7
639,69649.0
640,70636.5
767,69556.5
768,69449.9
769,68262.5
1023,66796.8
1024,67586.6
1025,64868.7
1525,67857.5
1526,68044.9
1527,69735.4
