size,mflop
31,6013.98
32,6318.48
96,6268.7
97,6090.39
127,6252.69
128,6192.35
129,6162.28
191,5900.74
192,6218.99
229,6141.46
255,6275.77
256,6274.03
257,6446.51
319,6275.15
320,6332.81
321,5900.68
417,6149.61
479,6310.28
480,6239.02
511,6076.88
512,4465.7
639,6199.23
640,6293.55
767,6264.82
768,6105.04
769,6328.68
1023,5901.47
1024,3978.64
1025,6112.55
1525,6293.22
1526,6323.58
1527,6257.93
